        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603251200,   0.258,   1.049,   0.700,   0.091,   1.049,   0.700,   1.049,   0.800,   1.149
202603251206,   0.251,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251212,   0.244,   1.029,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251218,   0.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251224,   0.229,   0.980,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251230,   0.222,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251236,   0.214,   0.951,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251242,   0.207,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251248,   0.200,   0.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251254,   0.192,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251300,   0.185,   0.869,   0.700,  -0.016,   0.869,   0.700,   0.869,   0.700,   0.869
202603251306,   0.178,   0.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251312,   0.171,   0.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251318,   0.164,   0.829,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251324,   0.157,   0.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251330,   0.150,   0.790,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251336,   0.143,   0.770,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251342,   0.137,   0.751,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251348,   0.131,   0.731,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251354,   0.124,   0.678,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251400,   0.118,   0.659,   0.700,  -0.159,   0.659,   0.700,   0.659,   0.700,   0.659
202603251406,   0.113,   0.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251412,   0.107,   0.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251418,   0.101,   0.619,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251424,   0.096,   0.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251430,   0.091,   0.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603251436,   0.086,   0.560,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
